u*	y*	Downstream
1.036	-1.7	1.2
1.026	-1.575	1.2
1.05	-1.425	1.2
1.038	-1.3	1.2
1.038	-1.15	1.2
1.062	-1	1.2
1.039	-0.85	1.2
1.027	-0.715	1.2
0.991	-0.575	1.2
0.92	-0.5	1.2
0.906	-0.425	1.2
0.737	-0.275	1.2
0.581	-0.15	1.2
0.51	0.00E+00	1.2
0.497	0.15	1.2
0.534	0.275	1.2
0.618	0.425	1.2
0.728	0.5	1.2
0.799	0.575	1.2
0.921	0.715	1.2
1.018	0.85	1.2
1.041	1	1.2
1.054	1.15	1.2
1.042	1.3	1.2
1.068	1.425	1.2
1.067	1.575	1.2
1.067	1.7	1.2
1.038	-1.7	2
1.039	-1.575	2
1.015	-1.425	2
1.015	-1.3	2
1.015	-1.15	2
1.016	-1	2
1.04	-0.85	2
1.004	-0.715	2
0.967	-0.575	2
0.943	-0.5	2
0.908	-0.425	2
0.823	-0.275	2
0.739	-0.15	2
0.595	0.00E+00	2
0.583	0.15	2
0.62	0.275	2
0.692	0.425	2
0.693	0.5	2
0.812	0.575	2
0.886	0.715	2
0.983	0.85	2
1.007	1	2
1.068	1.15	2
1.081	1.3	2
1.081	1.425	2
1.068	1.575	2
1.082	1.7	2
1.064	-1.7	3
1.003	-1.575	3
1.027	-1.425	3
1.04	-1.3	3
1.004	-1.15	3
1.028	-1	3
1.028	-0.85	3
1.016	-0.715	3
0.969	-0.575	3
0.957	-0.5	3
0.946	-0.425	3
0.897	-0.275	3
0.836	-0.15	3
0.788	0.00E+00	3
0.74	0.15	3
0.741	0.275	3
0.814	0.425	3
0.801	0.5	3
0.851	0.575	3
0.887	0.715	3
0.934	0.85	3
0.96	1	3
0.96	1.15	3
1.068	1.3	3
1.081	1.425	3
1.07	1.575	3
1.058	1.7	3
1.041	-1.7	4
1.04	-1.575	4
1.015	-1.425	4
1.017	-1.3	4
1.041	-1.15	4
0.993	-1	4
1.005	-0.85	4
0.969	-0.715	4
0.983	-0.575	4
0.946	-0.5	4
0.956	-0.425	4
0.922	-0.275	4
0.898	-0.15	4
0.862	0.00E+00	4
0.849	0.15	4
0.874	0.275	4
0.863	0.425	4
0.876	0.5	4
0.876	0.575	4
0.874	0.715	4
0.924	0.85	4
0.936	1	4
0.959	1.15	4
1.009	1.3	4
1.023	1.425	4
1.058	1.575	4
1.07	1.7	4
1.041	-1.7	5
1.029	-1.575	5
1.031	-1.425	5
1.017	-1.3	5
1.018	-1.15	5
1.006	-1	5
1.007	-0.85	5
0.958	-0.715	5
0.971	-0.575	5
0.946	-0.5	5
0.958	-0.425	5
0.923	-0.275	5
0.923	-0.15	5
0.911	0.00E+00	5
0.875	0.15	5
0.888	0.275	5
0.912	0.425	5
0.911	0.5	5
0.912	0.575	5
0.911	0.715	5
0.925	0.85	5
0.913	1	5
0.972	1.15	5
0.95	1.3	5
0.999	1.425	5
1.034	1.575	5
1.059	1.7	5
1.025	-1.7	6
1.037	-1.575	6
1	-1.425	6
0.989	-1.3	6
1.001	-1.15	6
1	-1	6
0.977	-0.85	6
0.988	-0.715	6
0.952	-0.575	6
0.952	-0.5	6
0.953	-0.425	6
0.948	-0.275	6
0.94	-0.15	6
0.913	0	6
0.904	0.15	6
0.928	0.275	6
0.94	0.425	6
0.964	0.5	6
0.952	0.575	6
0.94	0.715	6
0.94	0.85	6
0.94	1	6
0.975	1.15	6
0.975	1.3	6
0.964	1.425	6
1.012	1.575	6
1.013	1.7	6
1.024	-1.7	7
1.013	-1.575	7
1.013	-1.425	7
1.012	-1.3	7
0.989	-1.15	7
0.978	-1	7
0.977	-0.85	7
0.977	-0.715	7
0.989	-0.575	7
0.94	-0.5	7
0.964	-0.425	7
0.94	-0.275	7
0.953	-0.15	7
0.927	0	7
0.952	0.15	7
0.94	0.275	7
0.953	0.425	7
0.938	0.5	7
0.953	0.575	7
0.953	0.715	7
0.953	0.85	7
0.977	1	7
0.988	1.15	7
0.953	1.3	7
0.989	1.425	7
0.989	1.575	7
0.978	1.7	7
1.012	-1.7	8
1.025	-1.575	8
0.99	-1.425	8
1.013	-1.3	8
0.991	-1.15	8
0.976	-1	8
0.978	-0.85	8
0.953	-0.715	8
0.965	-0.575	8
0.966	-0.5	8
0.953	-0.425	8
0.953	-0.275	8
0.916	-0.15	8
0.953	0	8
0.954	0.15	8
0.929	0.275	8
0.953	0.425	8
0.977	0.5	8
0.906	0.575	8
0.953	0.715	8
0.965	0.85	8
0.941	1	8
0.965	1.15	8
0.978	1.3	8
0.977	1.425	8
0.977	1.575	8
1.002	1.7	8
1.026	-1.7	9
0.989	-1.575	9
0.977	-1.425	9
0.977	-1.3	9
0.99	-1.15	9
0.964	-1	9
0.965	-0.85	9
0.977	-0.715	9
0.953	-0.575	9
0.953	-0.5	9
0.989	-0.425	9
0.953	-0.275	9
0.965	-0.15	9
0.965	0	9
0.941	0.15	9
0.965	0.275	9
0.941	0.425	9
0.965	0.5	9
0.929	0.575	9
0.929	0.715	9
0.965	0.85	9
0.941	1	9
0.941	1.15	9
0.99	1.3	9
0.989	1.425	9
0.953	1.575	9
1.014	1.7	9
0.978	-1.7	10
1.014	-1.575	10
0.991	-1.425	10
0.954	-1.3	10
0.978	-1.15	10
0.955	-1	10
0.989	-0.85	10
0.966	-0.715	10
0.954	-0.575	10
0.957	-0.5	10
0.965	-0.425	10
0.99	-0.275	10
0.978	-0.15	10
0.954	0	10
0.942	0.15	10
0.953	0.275	10
0.954	0.425	10
0.93	0.5	10
0.954	0.575	10
0.954	0.715	10
0.955	0.85	10
0.942	1	10
0.966	1.15	10
0.978	1.3	10
0.941	1.425	10
0.978	1.575	10
0.978	1.7	10
