TI	y*	Downstream
10.489	-1.7	1.2
10.687	-1.575	1.2
10.955	-1.425	1.2
11.085	-1.3	1.2
11.624	-1.15	1.2
10.804	-1	1.2
11.715	-0.85	1.2
12.355	-0.715	1.2
14.659	-0.575	1.2
18.598	-0.5	1.2
19.376	-0.425	1.2
26.265	-0.275	1.2
28.027	-0.15	1.2
32.198	0	1.2
30.766	0.15	1.2
31.847	0.275	1.2
30.586	0.425	1.2
26.034	0.5	1.2
23.823	0.575	1.2
20.116	0.715	1.2
15.594	0.85	1.2
13.28	1	1.2
13.139	1.15	1.2
12.726	1.3	1.2
11.295	1.425	1.2
11.833	1.575	1.2
11.828	1.7	1.2
10.595	-1.7	2
11.201	-1.575	2
10.243	-1.425	2
12.685	-1.3	2
11.457	-1.15	2
10.841	-1	2
11.176	-0.85	2
12.767	-0.715	2
15.173	-0.575	2
15.508	-0.5	2
18.121	-0.425	2
21.31	-0.275	2
22.799	-0.15	2
28.635	0	2
29.378	0.15	2
28.523	0.275	2
29.232	0.425	2
28.718	0.5	2
24.2	0.575	2
22.431	0.715	2
15.632	0.85	2
15.254	1	2
11.988	1.15	2
12.424	1.3	2
12.384	1.425	2
11.395	1.575	2
10.711	1.7	2
9.341	-1.7	3
11.068	-1.575	3
11.436	-1.425	3
11.227	-1.3	3
11.087	-1.15	3
11.421	-1	3
13.149	-0.85	3
14.569	-0.715	3
13.955	-0.575	3
13.441	-0.5	3
16.223	-0.425	3
17.679	-0.275	3
21.138	-0.15	3
21.778	0	3
23.2	0.15	3
24.757	0.275	3
23.462	0.425	3
22.236	0.5	3
20.943	0.575	3
20.156	0.715	3
18.421	0.85	3
17.396	1	3
17.356	1.15	3
12.088	1.3	3
11.981	1.425	3
10.889	1.575	3
11.088	1.7	3
11.416	-1.7	4
9.645	-1.575	4
11.678	-1.425	4
11.027	-1.3	4
10.242	-1.15	4
13.123	-1	4
12.371	-0.85	4
13.452	-0.715	4
13.923	-0.575	4
15.075	-0.5	4
14.869	-0.425	4
16.052	-0.275	4
18.56	-0.15	4
19.268	0	4
18.109	0.15	4
19.802	0.275	4
20.103	0.425	4
19.692	0.5	4
19.791	0.575	4
21.858	0.715	4
18.797	0.85	4
17.773	1	4
17.428	1.15	4
15.317	1.3	4
15.244	1.425	4
12.896	1.575	4
12.755	1.7	4
10.367	-1.7	5
10.464	-1.575	5
11.103	-1.425	5
11.166	-1.3	5
