TI	y*	Downstream
11.772	-1.15	5
11.902	-1	5
13.053	-0.85	5
14.34	-0.715	5
13.485	-0.575	5
13.889	-0.5	5
14.364	-0.425	5
14.902	-0.275	5
16.833	-0.15	5
17.098	0	5
17.774	0.15	5
17.461	0.275	5
17.184	0.425	5
17.691	0.5	5
17.723	0.575	5
17.651	0.715	5
18.19	0.85	5
17.742	1	5
17.873	1.15	5
17.054	1.3	5
15.622	1.425	5
13.308	1.575	5
11.842	1.7	5
10.066	-1.7	6
9.34	-1.575	6
12.079	-1.425	6
11.65	-1.3	6
10.891	-1.15	6
12.079	-1	6
12.376	-0.85	6
12.838	-0.715	6
12.673	-0.575	6
13.564	-0.5	6
13.927	-0.425	6
14.62	-0.275	6
14.125	-0.15	6
17.096	0	6
16.04	0.15	6
16.271	0.275	6
15.413	0.425	6
16.931	0.5	6
16.502	0.575	6
17.36	0.715	6
15.413	0.85	6
15.413	1	6
16.106	1.15	6
14.884	1.3	6
14.422	1.425	6
14.389	1.575	6
12.541	1.7	6
9.67	-1.7	7
10.858	-1.575	7
10.264	-1.425	7
10.264	-1.3	7
12.343	-1.15	7
13.135	-1	7
12.574	-0.85	7
13.696	-0.715	7
12.97	-0.575	7
13.564	-0.5	7
13.927	-0.425	7
13.597	-0.275	7
14.125	-0.15	7
13.795	0	7
14.719	0.15	7
15.578	0.275	7
16.634	0.425	7
15.05	0.5	7
14.752	0.575	7
15.314	0.715	7
15.38	0.85	7
15.644	1	7
14.224	1.15	7
15.38	1.3	7
14.191	1.425	7
14.224	1.575	7
13.762	1.7	7
9.208	-1.7	8
10.825	-1.575	8
10.66	-1.425	8
10.957	-1.3	8
10.627	-1.15	8
13.234	-1	8
12.607	-0.85	8
12.97	-0.715	8
13.432	-0.575	8
13.399	-0.5	8
12.937	-0.425	8
14.257	-0.275	8
13.432	-0.15	8
13.696	0	8
14.191	0.15	8
14.62	0.275	8
15.545	0.425	8
14.587	0.5	8
15.017	0.575	8
16.139	0.715	8
14.653	0.85	8
15.743	1	8
14.785	1.15	8
15.149	1.3	8
13.861	1.425	8
13.861	1.575	8
12.409	1.7	8
9.208	-1.7	9
11.353	-1.575	9
11.485	-1.425	9
11.485	-1.3	9
11.98	-1.15	9
12.244	-1	9
13.531	-0.85	9
12.079	-0.715	9
13.036	-0.575	9
12.409	-0.5	9
12.574	-0.425	9
13.102	-0.275	9
13.531	-0.15	9
13.498	0	9
14.587	0.15	9
14.224	0.275	9
13.861	0.425	9
13.498	0.5	9
14.686	0.575	9
15.314	0.715	9
14.191	0.85	9
14.488	1	9
13.861	1.15	9
13.201	1.3	9
13.201	1.425	9
14.389	1.575	9
12.277	1.7	9
10.363	-1.7	10
11.221	-1.575	10
11.485	-1.425	10
11.914	-1.3	10
12.904	-1.15	10
12.541	-1	10
11.452	-0.85	10
13.003	-0.715	10
15.116	-0.575	10
13.795	-0.5	10
13.696	-0.425	10
13.333	-0.275	10
13.465	-0.15	10
13.861	0	10
12.673	0.15	10
13.795	0.275	10
15.05	0.425	10
13.597	0.5	10
12.541	0.575	10
13.168	0.715	10
12.541	0.85	10
13.96	1	10
14.323	1.15	10
12.871	1.3	10
13.465	1.425	10
12.838	1.575	10
12.838	1.7	10
